Listing Site Data[Product Name],Listing Site Data[Categories],Listing Site Data[Average Position],Listing Site Data[Clicks],Listing Site Data[Leads],Listing Site Data[Money Spent ($)],Listing Site Data[Channel],Listing Site Data[Location],Listing Site Data[Prospects],Listing Site Data[Paid],Listing Site Data[Paid Date],Listing Site Data[Date of report],Listing Site Data[Month],Listing Site Data[monthno],Listing Site Data[Monthrank],Listing Site Data[weekenddate],Listing Site Data[weeknum],Listing Site Data[weekstartdate],Listing Site Data[weekrank]
"Omnify","Gymnastics","15","1","","2","GetApp","UNITED STATES","","0","","25-10-2020 0:00:00","Oct","10","2","18-10-2020 0:00:00","44","19-10-2020 0:00:00","2"
"Omnify","Camp Management","11","1","","2","Capterra","UNITED STATES","","0","","26-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Fitness","29","1","","2","GetApp","UNITED STATES","","0","","26-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Reservations","28","1","","2","GetApp","UNITED STATES","","0","","26-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Venue Management","13","1","","2","Capterra","UNITED STATES","","0","","26-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Membership Management","52","1","","2","GetApp","UNITED STATES","","0","","27-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Personal Trainer","22","1","","2","GetApp","UNITED STATES","","0","","27-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Reservations","25","1","","2","GetApp","UNITED STATES","","0","","27-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Scheduling","48","1","","2","GetApp","UNITED STATES","","0","","27-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Spa","25","1","","2","GetApp","UNITED STATES","","0","","27-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Camp Management","10","1","","2","Capterra","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Camp Management","13","1","","2","Software Advice","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Gymnastics","15","1","","2","GetApp","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Personal Trainer","20","1","","2","Capterra","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Reservations","26","1","","2","GetApp","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Venue Management","10","1","","2","GetApp","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Yoga Studio","25","1","","2","GetApp","UNITED STATES","","0","","28-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Camp Management","13","1","","2","Software Advice","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Camp Management","10","1","","2","Capterra","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Coaching","10","1","","2","GetApp","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Fitness","26","1","","2","GetApp","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Membership Management","47","1","","2","GetApp","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Scheduling","43","1","","2","GetApp","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Venue Management","11","1","","2","Capterra","UNITED STATES","","0","","29-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Camp Management","1","1","","2","Software Advice","UNITED STATES","","0","","30-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Martial Arts","19","1","","2","GetApp","UNITED STATES","","0","","30-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Personal Trainer","19","1","","2","GetApp","UNITED STATES","","0","","30-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Reservations","25","1","","2","GetApp","UNITED STATES","","0","","30-10-2020 0:00:00","Oct","10","2","25-10-2020 0:00:00","44","26-10-2020 0:00:00","3"
"Omnify","Music School","11","1","","2","Capterra","UNITED STATES","","0","","01-11-2020 0:00:00","Nov","11","3","25-10-2020 0:00:00","45","26-10-2020 0:00:00","3"
"Omnify","Class Registration","13","1","","2","GetApp","UNITED STATES","","0","","02-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Personal Trainer","23","1","","2","GetApp","UNITED STATES","","0","","02-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Personal Trainer","23","1","","2","GetApp","UNITED STATES","","0","","03-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Personal Trainer","24","1","","2","Capterra","UNITED STATES","","0","","03-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Reservations","29","1","","2","GetApp","UNITED STATES","","0","","03-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Venue Management","12","1","","2","Capterra","UNITED STATES","","0","","03-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Club Management","52","1","","2","Capterra","UNITED STATES","","0","","04-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Music School","10","1","","2","Capterra","UNITED STATES","","0","","04-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Venue Management","3","1","","2","Capterra","UNITED STATES","","0","","04-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Personal Trainer","25","1","","2","Capterra","UNITED STATES","","0","","05-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Swim School","7","1","","2","Capterra","UNITED STATES","","0","","05-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Club Management","45","1","","2","GetApp","UNITED STATES","","0","","06-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Swim School","7","1","","2","Capterra","UNITED STATES","","0","","06-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Venue Management","10","1","","2","GetApp","UNITED STATES","","0","","06-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Club Management","45","1","","2","GetApp","UNITED STATES","","0","","07-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Fitness","31","1","","2","GetApp","UNITED STATES","","0","","07-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Venue Management","12","1","","2","Capterra","UNITED STATES","","0","","07-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","45","02-11-2020 0:00:00","4"
"Omnify","Personal Trainer","21","1","","2","GetApp","UNITED STATES","","0","","08-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","46","02-11-2020 0:00:00","4"
"Omnify","Scheduling","47","1","","2","GetApp","UNITED STATES","","0","","08-11-2020 0:00:00","Nov","11","3","01-11-2020 0:00:00","46","02-11-2020 0:00:00","4"
"Omnify","Membership Management","71","1","","2","Capterra","UNITED STATES","","0","","09-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Music School","3","1","","2","Capterra","UNITED STATES","","0","","09-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Scheduling","47","1","","2","GetApp","UNITED STATES","","0","","09-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Venue Management","6","1","","2","Capterra","UNITED STATES","","0","","09-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Membership Management","54","1","","2","GetApp","UNITED STATES","","0","","10-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Reservations","31","1","","2","GetApp","UNITED STATES","","0","","10-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Scheduling","14","1","","2","Capterra","UNITED STATES","","0","","10-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Personal Trainer","21","1","","2","GetApp","UNITED STATES","","0","","11-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Reservations","31","1","","2","GetApp","UNITED STATES","","0","","11-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Music School","16","1","","2","Capterra","UNITED STATES","","0","","12-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Personal Trainer","23","1","","2","GetApp","UNITED STATES","","0","","13-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Swim School","8","1","","2","Capterra","UNITED STATES","","0","","13-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","46","09-11-2020 0:00:00","5"
"Omnify","Camp Management","14","1","","2","Software Advice","UNITED STATES","","0","","15-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","47","09-11-2020 0:00:00","5"
"Omnify","Class Registration","14","1","","2","GetApp","UNITED STATES","","0","","15-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","47","09-11-2020 0:00:00","5"
"Omnify","Coaching","11","1","","2","GetApp","UNITED STATES","","0","","15-11-2020 0:00:00","Nov","11","3","08-11-2020 0:00:00","47","09-11-2020 0:00:00","5"
"Omnify","Class Registration","13","1","","2","Software Advice","UNITED STATES","","0","","16-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Venue Management","1","1","","2","GetApp","UNITED STATES","","0","","16-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Coaching","9","1","","2","Capterra","UNITED STATES","","0","","17-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Personal Trainer","23","1","","2","GetApp","UNITED STATES","","0","","17-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Spa","33","1","","2","Capterra","UNITED STATES","","0","","17-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Swim School","1","1","","2","GetApp","UNITED STATES","","0","","17-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Parks and Recreation","13","1","","2","GetApp","UNITED STATES","","0","","18-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Class Registration","18","1","","2","Capterra","UNITED STATES","","0","","19-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Fitness","30","1","","2","GetApp","UNITED STATES","","0","","20-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Music School","14","1","","2","Capterra","UNITED STATES","","0","","20-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Personal Trainer","22","1","","2","GetApp","UNITED STATES","","0","","20-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Swim School","1","1","","2","GetApp","UNITED STATES","","0","","20-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Class Registration","16","1","","2","Capterra","UNITED STATES","","0","","21-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Coaching","11","1","","2","Capterra","UNITED STATES","","0","","21-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Membership Management","2","1","","2","Capterra","UNITED STATES","","0","","21-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","47","16-11-2020 0:00:00","6"
"Omnify","Camp Management","1","1","","2","Software Advice","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Class Registration","16","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Gymnastics","18","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Membership Management","64","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Parks and Recreation","16","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Personal Trainer","21","1","","2","GetApp","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Scheduling","16","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Venue Management","13","1","","2","Capterra","UNITED STATES","","0","","22-11-2020 0:00:00","Nov","11","3","15-11-2020 0:00:00","48","16-11-2020 0:00:00","6"
"Omnify","Dance Studio","29","1","","2","GetApp","UNITED STATES","","0","","23-11-2020 0:00:00","Nov","11","3","22-11-2020 0:00:00","48","23-11-2020 0:00:00","7"
"Omnify","Music School","13","1","","2","Capterra","UNITED STATES","","0","","23-11-2020 0:00:00","Nov","11","3","22-11-2020 0:00:00","48","23-11-2020 0:00:00","7"
"Omnify","Dance Studio","1","1","","2","GetApp","UNITED STATES","","0","","24-11-2020 0:00:00","Nov","11","3","22-11-2020 0:00:00","48","23-11-2020 0:00:00","7"
"Omnify","Membership Management","2","1","","2","Capterra","UNITED STATES","","0","","26-11-2020 0:00:00","Nov","11","3","22-11-2020 0:00:00","48","23-11-2020 0:00:00","7"
"Omnify","Membership Management","2","1","","2","Capterra","UNITED STATES","","0","","27-11-2020 0:00:00","Nov","11","3","22-11-2020 0:00:00","48","23-11-2020 0:00:00","7"
"Omnify","Parks and Recreation","12","1","","2","GetApp","UNITED STATES","","0","","30-12-2020 0:00:00","Dec","12","4","27-12-2020 0:00:00","53","28-12-2020 0:00:00","12"
"Omnify","Parks and Recreation","13","1","","2","GetApp","UNITED STATES","","0","","01-01-2021 0:00:00","Jan","1","5","27-12-2020 0:00:00","1","28-12-2020 0:00:00","12"
"Omnify","Yoga Studio","31","1","","2","Capterra","UNITED STATES","","0","","02-01-2021 0:00:00","Jan","1","5","27-12-2020 0:00:00","1","28-12-2020 0:00:00","12"
"Omnify","Reservations","18","1","","2","Capterra","UNITED STATES","","0","","05-01-2021 0:00:00","Jan","1","5","03-01-2021 0:00:00","2","04-01-2021 0:00:00","13"
"Omnify","Coaching","11","1","","2","GetApp","UNITED STATES","","0","","06-01-2021 0:00:00","Jan","1","5","03-01-2021 0:00:00","2","04-01-2021 0:00:00","13"
"Omnify","Dance Studio","32","1","","2","Capterra","UNITED STATES","","0","","07-01-2021 0:00:00","Jan","1","5","03-01-2021 0:00:00","2","04-01-2021 0:00:00","13"
"Omnify","Parks and Recreation","13","1","","2","GetApp","UNITED STATES","","0","","07-01-2021 0:00:00","Jan","1","5","03-01-2021 0:00:00","2","04-01-2021 0:00:00","13"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","12-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Coaching","11","1","","2","Capterra","UNITED STATES","","0","","12-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Class Registration","15","1","","2","Software Advice","UNITED STATES","","0","","14-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Coaching","11","1","","2","GetApp","UNITED STATES","","0","","14-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Parks and Recreation","13","1","","2","GetApp","UNITED STATES","","0","","14-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Coaching","3","1","","2","Capterra","UNITED STATES","","0","","15-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Parks and Recreation","16","1","","2","Capterra","UNITED STATES","","0","","15-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","3","11-01-2021 0:00:00","14"
"Omnify","Coaching","9","1","","2","Capterra","UNITED STATES","","0","","17-01-2021 0:00:00","Jan","1","5","10-01-2021 0:00:00","4","11-01-2021 0:00:00","14"
"Omnify","Coaching","12","1","","2","Capterra","UNITED STATES","","0","","18-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","21-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Coaching","11","1","","2","Capterra","UNITED STATES","","0","","21-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Parks and Recreation","15","1","","2","Capterra","UNITED STATES","","0","","21-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","22-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Parks and Recreation","15","1","","2","Capterra","UNITED STATES","","0","","22-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","4","18-01-2021 0:00:00","15"
"Omnify","Coaching","11","1","","2","GetApp","UNITED STATES","","0","","24-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","5","18-01-2021 0:00:00","15"
"Omnify","Coaching","14","1","","2","Capterra","UNITED STATES","","0","","24-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","5","18-01-2021 0:00:00","15"
"Omnify","Dance Studio","30","1","","2","Capterra","UNITED STATES","","0","","24-01-2021 0:00:00","Jan","1","5","17-01-2021 0:00:00","5","18-01-2021 0:00:00","15"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","25-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Coaching","11","1","","2","Capterra","UNITED STATES","","0","","25-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Coaching","11","1","","2","GetApp","UNITED STATES","","0","","26-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Parks and Recreation","13","1","","2","Capterra","UNITED STATES","","0","","26-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Fitness","27","1","","2","GetApp","UNITED STATES","","0","","27-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Scheduling","52","1","","2","GetApp","UNITED STATES","","0","","27-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Yoga Studio","25","1","","2","Capterra","UNITED STATES","","0","","27-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Membership Management","50","1","","2","GetApp","UNITED STATES","","0","","28-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Coaching","10","1","","2","GetApp","UNITED STATES","","0","","29-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Fitness","27","1","","2","GetApp","UNITED STATES","","0","","29-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Scheduling","54","1","","2","GetApp","UNITED STATES","","0","","29-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Coaching","7","1","","2","GetApp","UNITED STATES","","0","","30-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Parks and Recreation","8","1","","2","GetApp","UNITED STATES","","0","","30-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Scheduling","13","1","","2","Capterra","UNITED STATES","","0","","30-01-2021 0:00:00","Jan","1","5","24-01-2021 0:00:00","5","25-01-2021 0:00:00","16"
"Omnify","Parks and Recreation","13","1","","2","GetApp","UNITED STATES","","0","","01-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Coaching","14","1","","2","Capterra","UNITED STATES","","0","","02-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Fitness","35","1","","2","GetApp","UNITED STATES","","0","","02-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Yoga Studio","1","1","","2","Capterra","UNITED STATES","","0","","03-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Coaching","1","1","","2","GetApp","UNITED STATES","","0","","04-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Fitness","35","1","","2","GetApp","UNITED STATES","","0","","04-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Parks and Recreation","16","1","","2","Capterra","UNITED STATES","","0","","04-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Coaching","12","1","","2","Capterra","UNITED STATES","","0","","05-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","6","01-02-2021 0:00:00","17"
"Omnify","Coaching","11","1","","2","Capterra","UNITED STATES","","0","","07-02-2021 0:00:00","Feb","2","6","31-01-2021 0:00:00","7","01-02-2021 0:00:00","17"
"Omnify","Class Registration","17","1","","2","GetApp","UNITED STATES","","0","","10-02-2021 0:00:00","Feb","2","6","07-02-2021 0:00:00","7","08-02-2021 0:00:00","18"
"Omnify","Parks and Recreation","15","1","","2","Capterra","UNITED STATES","","0","","11-02-2021 0:00:00","Feb","2","6","07-02-2021 0:00:00","7","08-02-2021 0:00:00","18"
"Omnify","Scheduling","62","1","","2","GetApp","UNITED STATES","","0","","14-02-2021 0:00:00","Feb","2","6","07-02-2021 0:00:00","8","08-02-2021 0:00:00","18"
